Arc: 1Pre-ri-go [myId: 0, dia 05/10/12, P(-179, 0): 130, média: 249.062500, desvio: 32.931179, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 268, 251, 251, 256, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-178, 0): 130, média: 249.000000, desvio: 32.918079, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 268, 251, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-177, 0): 130, média: 249.000000, desvio: 32.918079, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 268, 251, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-176, 0): 130, média: 248.937500, desvio: 32.880527, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 267, 251, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-175, 0): 130, média: 248.937500, desvio: 32.880527, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 267, 251, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-174, 0): 130, média: 248.875000, desvio: 32.877296, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-173, 0): 130, média: 248.875000, desvio: 32.877296, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-172, 0): 130, média: 248.937500, desvio: 32.898773, [130, 240, 241, 249, 259, 260, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-171, 0): 130, média: 248.937500, desvio: 32.898773, [130, 240, 241, 249, 259, 260, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-170, 0): 130, média: 248.875000, desvio: 32.877296, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-169, 0): 130, média: 248.875000, desvio: 32.877296, [130, 240, 241, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-168, 0): 130, média: 248.812500, desvio: 32.894211, [130, 240, 240, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-167, 0): 130, média: 248.812500, desvio: 32.894211, [130, 240, 240, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-166, 0): 130, média: 248.812500, desvio: 32.894211, [130, 240, 240, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-165, 0): 130, média: 248.812500, desvio: 32.894211, [130, 240, 240, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-164, 0): 130, média: 248.812500, desvio: 32.894211, [130, 240, 240, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-163, 0): 130, média: 248.875000, desvio: 32.877296, [130, 241, 240, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-162, 0): 130, média: 248.875000, desvio: 32.877296, [130, 241, 240, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-161, 0): 130, média: 248.875000, desvio: 32.877296, [130, 241, 240, 249, 259, 259, 260, 260, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-160, 0): 130, média: 248.812500, desvio: 32.855682, [130, 241, 240, 249, 259, 259, 260, 259, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-159, 0): 130, média: 248.937500, desvio: 32.914978, [130, 241, 240, 249, 259, 260, 260, 259, 263, 268, 269, 268, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-158, 0): 130, média: 248.875000, desvio: 32.877296, [130, 241, 240, 249, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-157, 0): 130, média: 248.875000, desvio: 32.877296, [130, 241, 240, 249, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-156, 0): 130, média: 248.875000, desvio: 32.877296, [130, 241, 240, 249, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-155, 0): 130, média: 248.875000, desvio: 32.877296, [130, 241, 240, 249, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-154, 0): 130, média: 248.937500, desvio: 32.878502, [130, 241, 240, 250, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-153, 0): 129, média: 248.875000, desvio: 33.119732, [129, 241, 240, 250, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-152, 0): 129, média: 248.812500, desvio: 33.138535, [129, 241, 239, 250, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-151, 0): 129, média: 248.750000, desvio: 33.127029, [129, 241, 239, 250, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-150, 0): 129, média: 248.750000, desvio: 33.127029, [129, 241, 239, 250, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-149, 0): 129, média: 248.750000, desvio: 33.127029, [129, 241, 239, 250, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-148, 0): 129, média: 248.812500, desvio: 33.164677, [129, 241, 239, 250, 259, 260, 260, 259, 263, 268, 269, 268, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-147, 0): 129, média: 248.875000, desvio: 33.176044, [129, 241, 239, 250, 259, 260, 260, 259, 263, 268, 269, 268, 250, 251, 255, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-146, 0): 129, média: 248.812500, desvio: 33.164677, [129, 241, 239, 250, 259, 260, 260, 259, 263, 268, 269, 268, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-145, 0): 129, média: 248.750000, desvio: 33.127029, [129, 241, 239, 250, 259, 260, 260, 259, 263, 268, 269, 267, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-144, 0): 129, média: 248.750000, desvio: 33.084740, [129, 242, 239, 250, 259, 260, 260, 259, 262, 268, 269, 267, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-143, 0): 129, média: 248.750000, desvio: 33.084740, [129, 242, 239, 250, 259, 260, 260, 259, 262, 268, 269, 267, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-142, 0): 129, média: 248.750000, desvio: 33.084740, [129, 242, 239, 250, 259, 260, 260, 259, 262, 268, 269, 267, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-141, 0): 129, média: 248.750000, desvio: 33.084740, [129, 242, 239, 250, 259, 260, 260, 259, 262, 268, 269, 267, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-140, 0): 130, média: 248.875000, desvio: 32.881351, [130, 242, 239, 250, 259, 260, 260, 259, 262, 268, 269, 268, 250, 251, 254, 261, ]
Pre-ri-go [myId: 0, dia 05/10/12, P(-139, 0): 130, média: 249.000000, desvio: 32.926178, [130, 242, 239, 251, 259, 260, 260, 259, 262, 268, 270, 268, 250, 251, 254, 261, ]
